CL,D,E,I_A,I_S,K_stock,R,S,V,X_0_mayer,X_vac,action,opt_policy,time
0.9999999999999999,0.00190074,0.00067033,0.00120986,9.283e-5,0.0037812279802551837,0.532520194,0.463606046,0.0,0.0,0.0,4.640607721805885e-5,0.0,0.0
1.0,0.0019008813002362812,0.0006740424678744888,0.0011973693751327677,9.391529236004765e-5,0.0037812279802551837,0.5316730620617133,0.4644607295026832,0.0,0.0,0.0,4.640607721805885e-5,0.0,0.16032064128256512
1.0,0.0019010242293946663,0.0006775078088307388,0.0011852668391402802,9.499795647749367e-5,0.0037812279802551837,0.5308270401738986,0.4653141629922583,0.0,0.0006695308611567896,0.0,4.640607721805885e-5,0.0,0.32064128256513025
1.0000000000000002,0.0019011687823506807,0.0006807387386263303,0.0011735371832614144,9.607721460968236e-5,0.0037812279802551837,0.5299821356999778,0.46616634238117427,0.0,0.001964024090495514,0.0,4.640607721805885e-5,0.0,0.48096192384769537
1.0000000000000002,0.0019013149528887446,0.000683747375329367,0.0011621658676299808,9.715234155270582e-5,0.0037812279802551837,0.5291383556223029,0.4670172638402964,0.0,0.003841204438353045,0.0,4.640607721805885e-5,0.0,0.6412825651302605
1.0000000000000002,0.0019014627337771756,0.0006865452666814898,0.0011511389909273164,9.822266195360897e-5,0.0037812279802551837,0.5282957065592062,0.46786692378745437,0.0,0.0062609821071286645,0.0,4.640607721805885e-5,0.0,0.8016032064128256
1.0000000000000002,0.0019016121168393399,0.0006891434162292664,0.0011404432614180867,9.928754774953183e-5,0.0037812279802551837,0.5274541947812728,0.46871531887649115,0.0,0.00918534989486062,0.0,4.640607721805885e-5,0.0,0.9619238476953907
1.0000000000000002,0.0019017630930211313,0.0006915523082786179,0.0011300659693066007,0.00010034641572799264,0.0037812279802551837,0.5266138262268729,0.469562445986793,0.0,0.01257828505150926,0.0,4.640607721805885e-5,0.0,1.122244488977956
1.0000000000000002,0.0019019156524549543,0.0006937819317245518,0.00111999496035376,0.0001013987252027748,0.0037812279802551837,0.5257746065169863,0.470408302213278,0.0,0.016405655635685516,0.0,4.640607721805885e-5,0.0,1.282565130260521
1.0000000000000004,0.0019020697845203763,0.000695841802806176,0.0011102186106974506,0.00010244397580012847,0.0037812279802551837,0.5249365409693517,0.4712528848568246,0.0,0.020635131168989983,0.0,4.640607721805885e-5,0.0,1.4428857715430863
1.0000000000000004,0.0019022254779016068,0.000697740986834784,0.0011007258028217564,0.0001034817053502353,0.0037812279802551837,0.5240996346119726,0.47209619141511944,0.0,0.025236097394140976,0.0,4.640607721805885e-5,0.0,1.6032064128256511
1.0000000000000007,0.0019023827206419565,0.0006994881189406956,0.0010915059026228335,0.00010451148787911111,0.0037812279802551837,0.5232638921960079,0.4729382195739081,0.0,0.030179574951688132,0.0,4.640607721805885e-5,0.0,1.7635270541082164
1.0000000000000004,0.001902541500195418,0.0007010914238825399,0.0010825487375216228,0.00010553293169633806,0.0037812279802551837,0.5224293182080755,0.4737789671986291,0.0,0.03543814179834778,0.0,4.640607721805885e-5,0.0,1.9238476953907815
1.0000000000000004,0.0019027018034755087,0.0007025587349607452,0.0010738445755758333,0.00010654567757422522,0.0037812279802551837,0.5215959168819976,0.4746184323264166,0.0,0.04098585919787458,0.0,4.640607721805885e-5,0.0,2.0841683366733466
1.0000000000000004,0.0019028636169015028,0.0007038975120751636,0.0010653841055457578,0.00010754939701419403,0.0037812279802551837,0.5207636922100101,0.47545661315845383,0.0,0.04679820112291621,0.0,4.640607721805885e-5,0.0,2.244488977955912
1.0000000000000007,0.0019030269264421827,0.0007051148589650051,0.0010571584178705397,0.00010854379059637458,0.0037812279802551837,0.5199326479534634,0.47629350805266313,0.0,0.0528519869134989,0.0,4.640607721805885e-5,0.0,2.4048096192384767
1.0000000000000007,0.0019031917176572254,0.0007062175396675746,0.0010491589865134615,0.00010952858640857907,0.0037812279802551837,0.5191027876530364,0.47712911551671744,0.0,0.05912531704467587,0.0,4.640607721805885e-5,0.0,2.565130260521042
1.0000000000000007,0.001903357975736339,0.000707211994230699,0.0010413776516366958,0.00011050353855099234,0.0037812279802551837,0.5182741146384865,0.47796343420135956,0.0,0.06559751186245272,0.0,4.640607721805885e-5,0.0,2.7254509018036073
1.0000000000000007,0.0019035256855362594,0.000708104353712195,0.0010338066030677424,0.00011146842571308346,0.0037812279802551837,0.5174466320379563,0.4787964628940152,0.0,0.07224905315339511,0.0,4.640607721805885e-5,0.0,2.8857715430861726
1.0000000000000009,0.0019036948316157078,0.0007089004544982588,0.001026438364521484,0.00011242304981940091,0.0037812279802551837,0.5166203427868586,0.47962820051268723,0.0,0.07906152841933917,0.0,4.640607721805885e-5,0.0,3.046092184368738
1.0000000000000009,0.0019038653982684107,0.0007096058519712492,0.0010192657785434204,0.00011336723474106445,0.0037812279802551837,0.5157952496363577,0.4804586461001189,0.0,0.08601757773437431,0.0,4.640607721805885e-5,0.0,3.2064128256513023
1.0000000000000007,0.0019040373695542756,0.0007102258335559968,0.0010122819921411983,0.00011430082506991067,0.0037812279802551837,0.5149713551614649,0.4812877988182145,0.0,0.09310084306676396,0.0,4.640607721805885e-5,0.0,3.3667334669338675
1.0000000000000007,0.001904210729328811,0.0007107654311724811,0.0010054804430730422,0.00011522368495238723,0.0037812279802551837,0.5141486617687688,0.48211565794270517,0.0,0.10029591995372351,0.0,4.640607721805885e-5,0.0,3.527054108216433
