D,E,I_A,I_S,K_stock,R,S,V,X_vac,action,time
0.00190074,0.00067033,0.00120986,9.283e-5,0.0037812279802551837,0.532520194,0.463606046,0.0,0.0,3.913839004365115e-5,0.0
0.0019008795478917724,0.0006739788800411907,0.0011971806353929591,9.389941690486092e-5,0.0037812279802551833,0.5316610401222458,0.46444848404205763,0.0,0.0,3.913839004365115e-5,0.16032064128256512
0.0019010206201734135,0.0006773981648629284,0.0011848876085634391,9.496619816157578e-5,0.0037812279802551833,0.5308029819183946,0.46528973336387397,0.0,0.0,3.913455379436531e-5,0.32064128256513025
0.0019011639471728646,0.0006806139220636102,0.0011729392317389353,9.603575936423334e-5,0.0037812279802551833,0.5299445064131436,0.4661344714898037,0.0,0.0,3.9941887849161875e-5,0.48096192384769537
0.0019013073268461368,0.0006835902249923481,0.0011614042425965416,9.708939756152755e-5,0.0037812279802551833,0.5290902459261863,0.46696871118588323,0.0,0.0,3.913430025142696e-5,0.6412825651302605
0.001901453042535492,0.00068638381903971,0.0011502154252716235,9.814532011012984e-5,0.0037812279802551833,0.5282356990756738,0.4678069719200296,0.0,0.0,3.919050689090656e-5,0.8016032064128256
0.0019015991925768105,0.0006889821432942834,0.0011394301978724772,9.918878953362781e-5,0.0037812279802551833,0.5273859325415281,0.4686380628240547,0.0,0.0,3.8715743943568205e-5,0.9619238476953907
0.0019017487840827414,0.0006913827972474204,0.0011288509388500058,0.0001002377943637162,0.0037812279802551833,0.5265296466958244,0.4694773633745356,0.0,0.0,3.907845007211064e-5,1.122244488977956
0.0019018992670759266,0.0006936002616674868,0.0011186396858681694,0.00010127535756090656,0.0037812279802551833,0.5256788483854303,0.4703115037866847,0.0,0.0,3.9102081338161825e-5,1.282565130260521
0.0019020512352944613,0.0006956583650945567,0.0011087343908574116,0.00010230635544718397,0.0037812279802551833,0.5248298943274863,0.4711444983155752,0.0,0.0,3.912340852025261e-5,1.4428857715430863
0.001902204705174239,0.00069756485524176,0.0010991209088330887,0.00010333057086965118,0.0037812279802551833,0.5239798882561434,0.47197648584445046,0.0,0.0,3.9150463272258984e-5,1.6032064128256511
0.0019023596306026156,0.0006993266652007609,0.0010897922551364168,0.00010434735846494983,0.0037812279802551833,0.523132266861496,0.4728072474764785,0.0,0.0,3.917157367482817e-5,1.7635270541082164
0.001902514866674164,0.0007009501066044443,0.001080717781576878,0.00010534927798746985,0.0037812279802551833,0.5222853422915645,0.47363084021337076,0.0,0.0,3.89305464671785e-5,1.9238476953907815
0.001902673607825346,0.0007024389282579272,0.0010719215499697106,0.00010635532465570833,0.0037812279802551833,0.5214415203222822,0.4744636769455356,0.0,0.0,3.9146814905706385e-5,2.0841683366733466
0.0019028330525503391,0.0007037835835774625,0.0010633726309229542,0.00010734539861974863,0.0037812279802551833,0.5205975957850875,0.4752900238521992,0.0,0.0,3.914392291585752e-5,2.244488977955912
0.0019029938555444794,0.0007050138666193974,0.0010550661245121787,0.00010832646094416391,0.0037812279802551833,0.51975470729286,0.4761149252100949,0.0,0.0,3.9133127976218306e-5,2.4048096192384767
0.001903156132253265,0.0007061367778933516,0.0010469947930079036,0.00010929914762501577,0.0037812279802551833,0.5189139768886664,0.4769390809094946,0.0,0.0,3.913865298156965e-5,2.565130260521042
0.0019033198027643885,0.0007071567017692185,0.0010391187898533619,0.00011026275011615129,0.0037812279802551833,0.5180726973642462,0.47776209927993224,0.0,0.0,3.914578239087244e-5,2.7254509018036073
0.0019034851547801452,0.0007080732572093532,0.001031490926625844,0.00011121876693696044,0.0037812279802551833,0.5172356486929353,0.47858547021219516,0.0,0.0,3.919794885533347e-5,2.8857715430861726
0.0019036507081765129,0.0007088731653443591,0.0010240418541420716,0.00011215887889437975,0.0037812279802551833,0.5163953464369693,0.47940196551743286,0.0,0.0,3.908732643052954e-5,3.046092184368738
0.0019038189814111239,0.0007095514974439999,0.0010168217234136363,0.00011309347912485047,0.0037812279802551833,0.5155598783790337,0.4802224900367839,0.0,0.0,3.913235412562705e-5,3.2064128256513023
0.0019039880231867597,0.0007101460218574888,0.0010097807577411828,0.00011401453305599989,0.0037812279802551833,0.5147248631903494,0.48103882397945336,0.0,0.0,3.9099501213536325e-5,3.3667334669338675
0.00190415891900432,0.0007106618365120116,0.0010029096206976415,0.00011492889866339395,0.0037812279802551833,0.5138900899687937,0.48185677911932934,0.0,0.0,3.913701922099895e-5,3.527054108216433
0.0019043312954998444,0.0007110969553036631,0.0009962537529996662,0.0001158339862758597,0.0037812279802551833,0.5130587622748739,0.48267436474483977,0.0,0.0,3.919107079652924e-5,3.6873747494989977
0.0019045027768249305,0.000711460097151556,0.0009897654814660737,0.00011671756845352889,0.0037812279802551833,0.51222806758518,0.4834803436718304,0.0,0.0,3.9011534208599086e-5,3.847695390781563
0.0019046784311508521,0.000711756599886437,0.0009834097291627944,0.00011760569170743243,0.0037812279802551833,0.5113954566021252,0.4842989012061356,0.0,0.0,3.913839004365115e-5,4.008016032064129
0.0019048541040160944,0.0007119946690192795,0.0009772472819677127,0.00011847543273451884,0.0037812279802551833,0.5105679448643567,0.4851096696167706,0.0,0.0,3.912434486190593e-5,4.168336673346693
0.0019050314036902294,0.0007121709884766921,0.0009712099140861191,0.00011933490484855339,0.0037812279802551833,0.5097381421376925,0.4859203210844236,0.0,0.0,3.9135603451910516e-5,4.328657314629258
0.0019052100015485981,0.0007122903239502342,0.0009653531087237871,0.00012018428683687478,0.0037812279802551833,0.508911816726911,0.48673013923885466,0.0,0.0,3.915340098986309e-5,4.488977955911824
